"","strato","eblup.FH"
"1","Huila_R_M",9905.47233529054
"2","Choco_R_M",9379.26623439167
"3","Cesar_R_M",8756.22202903876
"4","Norte de Santander_R_M",10313.3120607207
"5","Bogota_R_H",5945.6600856583
"6","Bogota_R_M",4378.36117331809
"7","Cordoba_R_M",48265.2137515056
"8","Bolivar_R_M",27224.2973734415
"9","Boyaca_R_M",31639.7822502969
"10","Caldas_R_M",16362.2729400628
"11","Cauca_R_M",78948.521637034
"12","Atlantico_R_M",10447.6976633003
"13","Sucre_R_M",16514.3732443805
"14","Boyaca_U_M",160899.149087302
"15","Valle del Cauca_R_M",84020.7340134639
"16","Santander_R_M",30194.1987836369
"17","Risaralda_R_M",14635.2889020054
"18","Boyaca_U_H",167725.774879128
"19","La Guajira_R_M",34202.4898679129
"20","Vaupes_U_M",1386.00319764462
"21","Magdalena_R_M",31948.5185358513
"22","Antioquia_R_M",123718.885716996
"23","Meta_R_M",16423.4098805296
"24","Choco_R_H",60554.9790705075
"25","Valle del Cauca_R_H",183915.406614807
"26","Narino_R_M",93252.4285098609
"27","Tolima_R_M",26081.0765881221
"28","Cordoba_U_M",118681.138828418
"29","Cundinamarca_R_M",75734.3823927134
"30","Boyaca_R_H",118114.609716614
"31","Choco_U_H",41599.7230969701
"32","Cesar_R_H",98144.6414990724
"33","La Guajira_R_H",88682.8914320171
"34","Vaupes_U_H",2635.00048207007
"35","Sucre_R_H",96626.4834630627
"36","Caqueta_R_M",11859.0803610317
"37","Cundinamarca_U_M",515130.696551549
"38","Choco_U_M",22555.6664158675
"39","Cordoba_U_H",223388.801422819
"40","Cundinamarca_U_H",627858.145362869
"41","Cauca_R_H",178649.245936515
"42","Narino_R_H",289509.826959932
"43","Atlantico_R_H",54517.4120984378
"44","Norte de Santander_R_H",90315.5182147729
"45","Cordoba_R_H",200956.350971586
"46","Antioquia_R_H",340697.293477599
"47","Bolivar_R_H",148821.070006753
"48","Santander_R_H",162685.359677217
"49","Huila_R_H",132456.89475343
"50","Cundinamarca_R_H",223951.977693752
"51","Cesar_U_M",117499.75935914
"52","Risaralda_R_H",52051.4918244653
"53","Magdalena_R_H",125742.885331207
"54","Cesar_U_H",214505.20898716
"55","Bolivar_U_M",195415.182332101
"56","La Guajira_U_M",61780.9651448774
"57","Bolivar_U_H",391549.628953591
"58","Tolima_U_H",220866.59799079
"59","Narino_U_M",136135.325755635
"60","Meta_R_H",62352.7379786258
"61","Caldas_R_H",64399.55968163
"62","Cauca_U_H",118628.558625173
"63","Santander_U_M",326707.716549218
"64","Cauca_U_M",89328.7842838026
"65","Tolima_R_H",124435.252565318
"66","Narino_U_H",165501.701626296
"67","Santander_U_H",447482.97045105
"68","Quindio_R_M",4527.36328627647
"69","La Guajira_U_H",79651.6480267831
"70","Tolima_U_M",135206.449614284
"71","Antioquia_U_M",1030885.58463002
"72","Valle del Cauca_U_M",682092.553234788
"73","Huila_U_H",166741.33066995
"74","Caqueta_R_H",39861.7597228845
"75","Bogota_U_M",1630119.41059622
"76","Valle del Cauca_U_H",851167.685298513
"77","Atlantico_U_M",387058.089877408
"78","Meta_U_M",135649.377087164
"79","Antioquia_U_H",1246804.89854692
"80","Magdalena_U_H",239532.532345526
"81","Magdalena_U_M",136180.925037711
"82","Norte de Santander_U_M",196014.813559596
"83","Huila_U_M",101332.330862107
"84","Atlantico_U_H",661782.483086148
"85","Caldas_U_H",191749.304343216
"86","Meta_U_H",202704.26047521
"87","Sucre_U_H",132793.038860208
"88","Norte de Santander_U_H",281668.930802276
"89","Bogota_U_H",1596830.95371108
"90","Archipielago de San Andres_U_H",10526.8215842455
"91","Caldas_U_M",135195.988283827
"92","Sucre_U_M",64740.4780206167
"93","Quindio_R_H",19926.1014154401
"94","Archipielago de San Andres_U_M",9128.01128317285
"95","Caqueta_U_H",59971.2537727616
"96","Amazonas_U_H",8103.0751280567
"97","Amazonas_U_M",5088.36687539022
"98","Caqueta_U_M",41942.0041176311
"99","Risaralda_U_H",188476.50716072
"100","Guaviare_U_H",9843.23900911679
"101","Quindio_U_H",106561.619304034
"102","Risaralda_U_M",142256.132366716
"103","Quindio_U_M",79207.9543597352
"104","Guaviare_U_M",8936.57235039956
"105","Casanare_U_H",39984.0813938145
"106","Casanare_U_M",36462.3804986027
"107","Arauca_U_H",19267.9272112405
"108","Arauca_U_M",12811.2443629454
"109","Putumayo_U_H",9294.38976653479
"110","Putumayo_U_M",6475.46334821531
"111","Arauca_R_H",23200.2394861126
"112","Arauca_R_M",20771.2798931121
"113","Casanare_R_H",27950.1067239547
"114","Casanare_R_M",23946.9628007129
"115","Putumayo_R_H",38332.7340697257
"116","Putumayo_R_M",35073.1000202467
"117","Archipielago de San Andres_R_H",3447.21865836453
"118","Archipielago de San Andres_R_M",3771.37450284136
"119","Amazonas_R_H",8787.15396998165
"120","Amazonas_R_M",7890.60397633569
"121","Guaviare_R_H",9457.9597447974
"122","Guaviare_R_M",7265.99141355815
"123","Vaupes_R_H",6882.38691358866
"124","Vaupes_R_M",6236.88698536776
"125","Vichada_R_H",19394.7221743735
"126","Vichada_R_M",17255.3739368473
"127","Guainia_R_H",6393.94390629767
"128","Vichada_U_H",6027.61165082943
"129","Vichada_U_M",5902.28745816924
"130","Guainia_R_M",5570.09801159881
"131","Guainia_U_M",5096.91884828566
"132","Guainia_U_H",5067.9978807487
