,DEPARTAMENTO,DPNOM
0,5,Antioquia
1,8,Atlantico
2,11,Bogota
3,13,Bolivar
4,15,Boyaca
5,17,Caldas
6,18,Caqueta
7,19,Cauca
8,20,Cesar
9,23,Cordoba
10,25,Cundinamarca
11,27,Choco
12,41,Huila
13,44,La Guajira
14,47,Magdalena
15,50,Meta
16,52,Narino
17,54,Norte de Santander
18,63,Quindio
19,66,Risaralda
20,68,Santander
21,70,Sucre
22,73,Tolima
23,76,Valle del Cauca
24,81,Arauca
25,85,Casanare
26,86,Putumayo
27,88,Archipielago de San Andres
28,91,Amazonas
29,94,Guainia
30,95,Guaviare
31,97,Vaupes
32,99,Vichada
